sku,brand,name,size,net_weight,weight_unit,net_volume,volume_unit,gross_weight,gross_weight_unit,parent_category,child_category,description,ingredients,allergen_advice,storage_instructions,energy_kj,enery_kcal,protein,carbohydrates,of_which_sugars,fat,of_which_saturates,fibre,sodium,vitamin_A,VATable,country_of_origin,address,EAN
082545,Lotus,Five Spice Powder,,,,200,g,215,g,Ingredients and Seasonings,Spices and Spice Mixes,"Five spice powder is a mixture believed to be based on the ancient Chinese philosophy of achieving a proper yin-yang balance of flavours, sweet, sour, bitter, spicy, salty. Therefore it is an essential seasoning in Chinese cookery.","Coriander, Cassia, Fennel, Nutmeg, Ginger, Cinnamon, Clove, Anise, Szechuan Pepper, Spice Extracts.","Packed in a factory which also handles wheat, celery, mustard and sulphur dioxide",Store in a cool dry place.  We recommend that this product be put in an airtight container as soon as the sachet is opened.,,,,,,,,,,,3,Packed in the UK,"Westmill Foods, 26 Crown Road, Enfield, Middlesex, EN1 1DZ",5015821145507
081448,TRS,Black Eye Beans,,,,500,g,510,g,Tinned and Preserved,Beans,"Pulses and beans are a natural source of protein, high in fibre and used extensively in Asian cooking.",,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,Myanmar,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689000332
007815,Rajah,Crushed Red Chillies,,,,200,g,223,g,Ingredients and Seasonings,Chilli Products,"Rajah Crushed Chilli is made using dried chillies to add a pungency , heat, flavour and vibrancy to an array of dishes.",Dried crushed chillies,,Store in a cool dry place.  On opening store in an airtight container.,,,,,,,,,,,3,Packed in the UK,"Westmill Foods, 26 Crown Road, Enfield, Middlesex, EN1 1DZ",5015821145866
228759,TRS,Whole Jeera Cumin Seeds,,,,1000,g,1007,g,Ingredients and Seasonings,Spices and Spice Mixes,"Whole Jeera has a strong aromatic lingering flavour. Jeera features in most I(ndian savoury mixtures and curry seasonings, and is also an important ingredient of Garam Masal.",Cumin Seeds,,"To retain freshness and flavour store in an airtight container, in a cool dry place.",,,,,,,,,,,3,India,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689037697
047415,TRS,Red Chori - Cow Peas,,,,500,g,511,g,"Soups, snacks, nuts",Nuts and seeds,"Pulses and beans are a natural source of protein, high in fibre and used extensively in Asian cooking.",,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,Thailand,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689400538
031963,TRS,Red Kidney Beans,,,,500,g,507,g,Tinned and Preserved,Beans,"Pulses and beans are a natural source of protein, high in fibre and used extensively in Asian cooking. All pulses require soaking - times vary according to recipes and you should consult your cookery book.",Red Kidney Beans,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,Thailand,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689005092
060699,TRS,Golden Sultanas,,,,1000,g,1018,g,Tinned and Preserved,"Vegetables, Fruit","TRS Golden Sultanas have been processed to bring out the natural golden colour.  They are deliciously sweet and used extensively in traditional Indian Desserts like Kheer, Halwa, Zarda Rice and snacks such as Chevra and Bombay Mix.",Sultanas,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,Packed in the UK,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689108809
254649,TRS,Sesame Seeds Hulled,,,,1000,g,1015,g,"Soups, snacks, nuts",Nuts and seeds,,Sesame Seeds,,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,India,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689763336
213058,TRS,Sesame Seeds Hulled,,,,300,g,307,g,"Soups, snacks, nuts",Nuts and seeds,,Sesame Seeds,May contain traces of other seeds.,Once opened we recommend the transfer of the product to an airtight container.  This will retain the freshness and flavour.  Store in a cool dry place.,,,,,,,,,,,3,India,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",5017689100698
193151,TRS,Crushed Chillies Extra Hot,,,,250,g,275,g,Ingredients and Seasonings,Chilli Products,TRS crushed chillies are extremely pungent.  Added to hot oil and fried they turn dark in colour and give a lovely flavour to the dish.,Crushed Red Chillies,,"To retain freshness and flavour store in an airtight container, in a cool dry place.",,,,,,,,,,,3,India,"TRS Wholesale Ltd Southall, Middlesex UB2 4AX",017689347901
