sku,name,description,short_description
307686,A&W Root Beer 330ml,"Tired of your everyday soft drinks? Try this! 

A classic Root Beer from a classic brand! 
",
120576,Caterer's Scourers Heavy Duty 10pc,,
403915,ABC Chilli Sauce Sambal Asli 340ml,,
236661,ABC Sweet Soy Sauce Kecap Manis 620ml,Sweet Soy sauce,
328831,A1 Instant Curry Paste (Chicken or Meat) 230g,Serves 4-6 people,
319871,A1 Instant Curry Paste (Meat) 230g,Serves 4-5 people,
040220,Adabi Manis Sweet Soy Sauce  340ml,"Adabi Soy Sauce Quality: Reverse Osmosis (RO) Water is hygenic water that is free from impurities and chlorine. ÿIt is used to produce high quality Adabi soy sauce. ÿAdabi Quality Seal guarantees the high quality production of Adabi products using state-of-the-art technology and processed at the highest standard of Adabi Quality Control Department. ÿNutrients that help strenghten body immune system, bones, teeth and eyesight.",
330878,Adabi Masin Salty Soy Sauce 340ml,"Adabi Soy Sauce Quality: Reverse Osmosis (RO) Water is hygienic water that is free from impurities and chlorine. ÿIt is used to produce high quality Adabi soy sauce. ÿAdabi Quality Seal guarantees the high quality production of Adabi products using state-of-the-art technology and processed at the highest standard of Adabi Quality Control Department. ÿNutrients that help strengthen body immune system, bones, teeth and eyesight.",
040188,Bihun Goreng Fried Noodle Paste 30g,"Dark red, spicy, slightly sweet and sour , with an exotic aroma of spices and tomato in a viscous, fine paste",
331355,Chicken and Meat Curry 250g,,
039958,Fried Chicken Seasoning 250g,Fried Chicken Flour,
040170,Fried Rice Paste 30g,"Add to Vegetables, meat, prawns, eggs, squid and rice.",
298950,Cooked Beef Jerky Five Spices 40g,"To produce this product we select the best quality tender meats available and cook using original recipe applying stringently the most advance hygiene cooking techniques to produce this delicious and healthy meaty snack, which will add value to your family treat or great as a gift to friends and relatives. This product can be kept at room temperature. Once opened keep refrigerated and use within one week. Inside this is a small pack of oxygen buster, not to eat",
298968,Cooked Beef Jerky Hot Black Pepper 40g,"To produce this product we select the best quality tender meats available and cook using original recipe applying stringently the most advance hygiene cooking techniques to produce this delicious and healthy meaty snack, which will add value to your family treat or great as a gift to friends and relatives. This product can be kept at room temperature. Once opened keep refrigerated and use within one week. Inside this is a small pack of oxygen buster, not to eat",
336289,Pork Floss 60g,"To produce this product we select the best quality tender meats available and cook using original recipe applying stringently the most advance hygiene cooking techniques to produce this delicious and healthy meaty snack, which will add value to your family treat or great as a gift to friends and relatives. This product can be kept at room temperature. Once opened keep refrigerated and use within one week. Inside this is a small pack of oxygen buster, not to eat",
346106,AGV Deluxe Congee with Brown Sugar 340g,Okinawa Brown Eight Treasures,
338871,AGV Deluxe Grass Jelly Dessert 330g,,
361287,AGV Spicy Chilli Sauce 165g,Ready to eat,
340000,AGV Sweet Chilli Sauce 165g,,
296491,Preserved Plum 110g,,
296483,Preserved Prune Slice 80g,,
336271,Preserved Seedless Plum 350g,,
296475,Preserved Seedless Plum 90g,,
363424,Hon-Dashi Katsuo Dashi 120g,,
348326,Alasia Argentinian Organic Honey 2kg,This organic honey produced from Soil Association approved beehives,
342428,Alasia Argentinian Organic Honey 340g,This organic honey produced from Soil Association approved beehives,
369785,Alasia Argentinian Organic Honey 900g,This organic honey produced from Soil Association approved beehives,
350058,Alasia Pure Mexican Yucatan Tropical Forest Honey 340g,"This Mexican honey is from the tropical forests of the Yucatan peninsula, the ancient home of the Maya people, where beekeeping has been a spiritual art for thousands of years.",
394486,Alasia Pure Natural Acacia Honey 340g,,
374132,Alif Bubur Pulut Hitam (Black Glutinous Rice Dessert) 220g,"All the taste and goodness of local desserts are now so convenient to enjoy. Just heat it up and treat your family to an authentic 'pencuci mulut', with a minimum of fuss and preparation",
374116,Alif Bubur Kacang Merah (Red Bean Dessert) 220g,"All the taste and goodness of local desserts are now so convenient to enjoy. Just heat it up and treat your family to an authentic 'pencuci mulut', with a minimum of fuss and preparation",
399618,Japanese Rice Cracker 98g,,
400846,Amoy All Purpose Marinade 450ml,"A blend of soy sauce, ginger and spices for an authentic-tasting Oriental marinating sauce.",
128884,Amoy BBQ Hoi Sin Sauce 2.3kg,"Amoy Hoi Sin Sauce (Barbecue) Sauce. Amoy Hoi Sin Sauce is a Cantonese speciality used widely in Chinese cooking. It is essential marinade in classical dishes such as Cantonese Roast Duck, Char Siu Roasted Pork, and Barbecued Pork Spare Ribs etc. It is also used for a number of seafood and chicken dishes, and of course many restaurants use it to serve with the famous Peking Duck. BBQ Pork Spare Ribs (serves 4): 1kgor 2 and 1/4 lb pork spare ribs, cut into individual pieces. 225g/8oz Amoy Hoi Sin (Barbecue) Sauce, 2-3 tbsp dry sherry, 2 tsp mild curry powder (optional), 120ml/4fl oz stock or water. Mix all ingredients with spare ribs and marinate for 2 hours. Roast spare ribs at 230 degrees/450 fahrenheit/gas 8 oven for 15-20 minutes. Rotate spare ribs, reduce heat to 200 degrees/400 fahrenheit/gas 6 oven and roast for another 30-35 minutes. Alternatively, barbecue spare ribs for 15 minutes, constantly rotating and basting spare ribs with marinate until cooked. Ensure fully cooked before serving. Serve and enjoy.",
400853,Amoy Black Bean and Garlic Sauce 370g,"SPARE RIBS IN BLACK BEAN GARLIC SAUCE. Ingredient: Spare ribs 300g, minced garlic 1tsp, 1 diced spring onion Marinade: Amoy Black Bean and Garlic Sauce 1 & 2/3 tbsp, sugar 3/4 tsp, corn starch 1 and 1/2 tbsp, oil 1tsp Method: 1. Prepare sprare ribs for cooking and dry 2. Mix spare ribs with garlic and marinade. Steam spare ribs for 12 minutes over high heat. Sprinkle diced spring onion over the spare ribs. Ensure fully cooked before serving",
